HHS,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1,1997,40,44,32,7053
2,1997,40,3,7,780
3,1997,40,32,16,2385
4,1997,40,46,29,10222
5,1997,40,89,49,9875
6,1997,40,5,4,669
7,1997,40,27,14,2342
8,1997,40,5,5,1183
9,1997,40,243,23,10758
10,1997,40,76,13,1575
1,1997,41,57,29,6987
2,1997,41,2,7,872
3,1997,41,42,17,2740
4,1997,41,44,31,11310
5,1997,41,104,48,9618
6,1997,41,6,4,684
7,1997,41,15,14,2315
8,1997,41,9,6,1254
9,1997,41,274,23,10677
10,1997,41,62,12,1566
1,1997,42,85,40,6934
2,1997,42,1,7,786
3,1997,42,46,15,2103
4,1997,42,54,33,11550
5,1997,42,186,64,17473
6,1997,42,6,4,667
7,1997,42,13,14,2140
8,1997,42,3,6,1216
9,1997,42,241,23,9978
10,1997,42,46,13,2114
1,1997,43,125,44,7708
2,1997,43,1,5,447
3,1997,43,32,14,1885
4,1997,43,17,27,10028
5,1997,43,222,66,22164
6,1997,43,7,4,661
7,1997,43,16,14,2325
8,1997,43,8,9,1916
9,1997,43,214,19,8105
10,1997,43,11,11,1805
1,1997,44,73,44,9357
2,1997,44,14,6,485
3,1997,44,22,13,2094
4,1997,44,43,26,9067
5,1997,44,272,65,20153
6,1997,44,11,4,649
7,1997,44,12,14,2396
8,1997,44,8,10,2313
9,1997,44,224,19,7108
10,1997,44,21,12,1884
1,1997,45,74,46,8868
2,1997,45,20,7,739
3,1997,45,2,10,1340
4,1997,45,45,28,7906
5,1997,45,282,59,18340
6,1997,45,11,3,572
7,1997,45,9,11,1800
8,1997,45,7,7,2560
9,1997,45,173,15,7815
10,1997,45,32,9,1122
1,1997,46,56,42,9219
2,1997,46,16,8,808
3,1997,46,51,19,2886
4,1997,46,62,32,9541
5,1997,46,300,78,22341
6,1997,46,14,4,661
7,1997,46,31,16,3645
8,1997,46,47,13,2978
9,1997,46,298,24,10417
10,1997,46,57,12,1967
1,1997,47,66,44,9329
2,1997,47,24,8,786
3,1997,47,53,19,2919
4,1997,47,65,31,9054
5,1997,47,396,81,24062
6,1997,47,17,4,651
7,1997,47,29,18,3108
8,1997,47,63,13,2905
9,1997,47,363,26,12033
10,1997,47,24,12,1902
1,1997,48,80,50,7606
2,1997,48,1,6,512
3,1997,48,43,19,2212
4,1997,48,60,31,8641
5,1997,48,341,75,16475
6,1997,48,13,4,531
7,1997,48,13,18,2255
8,1997,48,16,12,2485
9,1997,48,302,25,10688
10,1997,48,17,12,1485
1,1997,49,120,47,9961
2,1997,49,7,7,730
3,1997,49,46,18,2737
4,1997,49,76,31,10808
5,1997,49,393,77,22074
6,1997,49,16,4,592
