DVD,HHS,total,Aunkn,H1N1pdm,H3N2,B,Bvic,Byam
201040,1,25,0,1,0,0,0,0
201040,2,51,0,0,1,0,0,0
201040,3,69,0,0,2,2,0,0
201040,4,107,0,1,2,3,0,0
201040,5,121,0,0,1,0,0,0
201040,6,53,1,0,0,0,0,0
201040,7,55,0,0,0,0,0,0
201040,8,49,0,0,1,0,0,0
201040,9,70,1,5,9,1,0,0
201040,10,76,0,0,0,0,0,0
201041,1,26,0,0,1,0,0,0
201041,2,34,0,0,0,0,0,0
201041,3,66,0,0,0,0,0,0
201041,4,128,1,4,7,5,0,0
201041,5,122,0,1,7,0,0,0
201041,6,59,0,0,6,2,0,0
201041,7,67,0,0,0,0,0,0
201041,8,53,0,2,6,0,0,0
201041,9,79,0,5,6,6,0,0
201041,10,64,0,0,0,0,0,0
201042,1,36,0,0,1,0,0,0
201042,2,40,0,0,1,0,0,0
201042,3,80,0,0,3,3,0,0
201042,4,164,0,1,12,9,0,0
201042,5,119,0,1,2,0,0,0
201042,6,76,0,0,4,2,0,0
201042,7,58,0,0,1,0,0,0
201042,8,50,0,0,0,0,0,0
201042,9,101,1,5,9,5,0,0
201042,10,47,0,0,0,0,0,0
201043,1,45,0,0,3,1,0,0
201043,2,60,0,0,0,0,0,0
201043,3,117,0,0,3,0,0,0
201043,4,149,1,1,19,8,0,0
201043,5,136,0,0,6,0,0,0
201043,6,64,0,1,3,3,0,0
201043,7,64,1,0,0,0,0,0
201043,8,54,0,2,1,0,0,0
201043,9,82,1,6,9,3,0,0
201043,10,69,0,0,5,1,0,0
201044,1,47,0,0,2,0,0,0
201044,2,81,0,0,2,0,0,0
201044,3,150,0,2,4,2,0,0
201044,4,175,0,3,18,21,0,0
201044,5,155,0,0,4,0,0,0
201044,6,64,0,0,2,1,0,0
201044,7,82,0,1,0,1,0,0
201044,8,60,0,0,9,1,0,0
201044,9,122,0,4,5,6,0,0
201044,10,63,0,0,2,0,0,0
201045,1,29,0,1,0,0,0,0
201045,2,96,0,0,1,0,0,0
201045,3,146,0,6,3,0,0,0
201045,4,203,0,4,31,31,0,0
201045,5,139,0,0,8,0,0,0
201045,6,68,0,0,5,0,0,0
201045,7,98,0,0,0,0,0,0
201045,8,53,0,0,10,1,0,0
201045,9,67,0,0,5,3,0,0
201045,10,97,0,0,1,1,0,0
201046,1,52,0,0,5,0,0,0
201046,2,60,1,0,7,0,0,0
201046,3,154,3,8,12,0,0,0
201046,4,219,0,7,29,42,0,0
201046,5,156,0,0,13,0,0,0
201046,6,70,0,0,2,5,0,0
