HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201040	1	3	0	0	15	1681631	0	0	0	0.000145680065764144
1	201040	2	1	0	0	6	4864896	0	0	0	0.000145680065764144
1	201040	3	41	3	0	139	12793915	0	0	0	0.000145680065764144
1	201040	4	188	18	0	320	6162153	0	0	0	0.000145680065764144
1	201040	5	1277	162	0	1794	4066845	0	0	0	0.000145680065764144
1	201041	1	3	0	0	12	1681323	0	0	0	0
1	201041	2	1	0	0	5	4864116	0	0	0	0
1	201041	3	53	4	0	142	12793256	0	0	0	0
1	201041	4	193	18	0	351	6162973	0	0	0	0
1	201041	5	1294	182	0	1821	4070174	0	0	0	0
1	201042	1	3	0	0	20	1681016	0	0	0	0
1	201042	2	1	0	0	8	4863337	0	0	0	0
1	201042	3	50	5	0	160	12792596	0	0	0	0
1	201042	4	202	16	0	361	6163794	0	0	0	0
1	201042	5	1328	169	0	1832	4073503	0	0	0	0
1	201043	1	0	0	0	19	1680709	0	0	0	0
1	201043	2	1	0	0	9	4862557	0	0	0	0
1	201043	3	70	6	0	178	12791937	0	0	0	0
1	201043	4	194	14	0	346	6164614	0	0	0	0
1	201043	5	1309	160	0	1875	4076832	0	0	0	0
1	201044	1	1	0	0	18	1680402	0	0	0	0.000238516119243946
1	201044	2	2	0	0	5	4861778	0	0	0	0.000238516119243946
1	201044	3	50	9	0	138	12791277	0	0	0	0.000238516119243946
1	201044	4	203	20	0	362	6165434	0	0	0	0.000238516119243946
1	201044	5	1341	190	0	1822	4080161	0	0	0	0.000238516119243946
1	201045	1	2	0	0	16	1680095	0	0	0	0.000284590999385585
1	201045	2	3	0	0	8	4860999	0	0	0	0.000284590999385585
1	201045	3	52	5	0	149	12790618	0	0	0	0.000284590999385585
1	201045	4	174	14	0	322	6166254	0	0	0	0.000284590999385585
1	201045	5	1300	167	0	1863	4083490	0	0	0	0.000284590999385585
1	201046	1	3	0	0	22	1679788	0	0	0	0.000359744990892532
1	201046	2	1	0	0	5	4860219	0	0	0	0.000359744990892532
1	201046	3	53	5	0	152	12789958	0	0	0	0.000359744990892532
1	201046	4	189	19	0	335	6167075	0	0	0	0.000359744990892532
1	201046	5	1301	165	0	1836	4086819	0	0	0	0.000359744990892532
1	201047	1	3	0	0	20	1679481	0	0.000104627399340945	0	0.000329978720998366
1	201047	2	2	0	0	4	4859440	0	0.000104627399340945	0	0.000329978720998366
1	201047	3	60	10	0	142	12789299	0	0.000104627399340945	0	0.000329978720998366
1	201047	4	194	19	0	351	6167895	0	0.000104627399340945	0	0.000329978720998366
1	201047	5	1339	180	0	1881	4090148	0	0.000104627399340945	0	0.000329978720998366
1	201048	1	0	0	0	13	1679174	0	0	0	0.000886278812128252
