DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
201040	1	3	0	0	15	18907591	3.3128558269283e-05	7.57224189012183e-05	6.75626754851388e-05	9.40837257199801e-05
201040	2	7	1	0	34	47697575	3.3128558269283e-05	7.57224189012183e-05	6.75626754851388e-05	9.40837257199801e-05
201040	3	11	1	0	76	116802344	3.3128558269283e-05	7.57224189012183e-05	6.75626754851388e-05	9.40837257199801e-05
201040	4	17	1	0	118	53137805	3.3128558269283e-05	7.57224189012183e-05	6.75626754851388e-05	9.40837257199801e-05
201040	5	20	2	0	111	32491270	3.3128558269283e-05	7.57224189012183e-05	6.75626754851388e-05	9.40837257199801e-05
201041	1	9	0	0	77	18904716	4.49262320521146e-05	0.000123547138143315	8.4236685097715e-05	0.000156315498119471
201041	2	4	0	0	30	47700603	4.49262320521146e-05	0.000123547138143315	8.4236685097715e-05	0.000156315498119471
201041	3	4	1	0	20	116814138	4.49262320521146e-05	0.000123547138143315	8.4236685097715e-05	0.000156315498119471
201041	4	7	1	0	81	53142812	4.49262320521146e-05	0.000123547138143315	8.4236685097715e-05	0.000156315498119471
201041	5	1	0	0	20	32527133	4.49262320521146e-05	0.000123547138143315	8.4236685097715e-05	0.000156315498119471
201042	1	1	0	0	6	18901840	3.34796477059042e-05	0.000157832624899262	9.38513035421572e-05	0.000124307856374348
201042	2	4	1	0	15	47703631	3.34796477059042e-05	0.000157832624899262	9.38513035421572e-05	0.000124307856374348
201042	3	4	0	0	21	116825932	3.34796477059042e-05	0.000157832624899262	9.38513035421572e-05	0.000124307856374348
201042	4	11	2	0	49	53147819	3.34796477059042e-05	0.000157832624899262	9.38513035421572e-05	0.000124307856374348
201042	5	8	3	0	37	32562995	3.34796477059042e-05	0.000157832624899262	9.38513035421572e-05	0.000124307856374348
201043	1	5	0	0	27	18898965	3.15362228171192e-05	0.000154527491803884	0.000128813340891464	0.000205579129179485
201043	2	3	0	0	7	47706659	3.15362228171192e-05	0.000154527491803884	0.000128813340891464	0.000205579129179485
201043	3	2	0	0	7	116837726	3.15362228171192e-05	0.000154527491803884	0.000128813340891464	0.000205579129179485
201043	4	5	0	0	17	53152825	3.15362228171192e-05	0.000154527491803884	0.000128813340891464	0.000205579129179485
201043	5	3	0	0	11	32598858	3.15362228171192e-05	0.000154527491803884	0.000128813340891464	0.000205579129179485
201044	1	41	3	0	139	18896089	5.48752645845505e-05	0.000263401270005842	0.000283764621201073	0.000231701287973647
