studywk,agecat,region,rcu,pi,flu,allcause
1983,1,1,0,0,0,1
1983,1,2,1,0,0,9
1983,1,3,0,0,0,13
1983,1,4,5,1,0,26
1983,1,5,5,1,0,32
1983,1,6,9,2,0,30
1983,1,7,0,0,0,6
1983,1,8,1,0,0,5
1983,1,9,2,1,0,20
1983,1,10,0,0,0,5
1983,2,1,1,0,0,5
1983,2,2,1,0,0,5
1983,2,3,1,0,0,1
1983,2,4,3,0,0,14
1983,2,5,4,2,1,10
1983,2,6,2,0,0,8
1983,2,7,1,0,0,4
1983,2,8,1,1,0,2
1983,2,9,3,0,0,14
1983,2,10,1,0,0,4
1983,3,1,20,3,0,52
1983,3,2,42,4,0,89
1983,3,3,46,4,0,115
1983,3,4,132,16,0,311
1983,3,5,95,11,0,243
1983,3,6,59,11,1,175
1983,3,7,20,0,0,54
1983,3,8,13,1,0,40
1983,3,9,70,14,1,192
1983,3,10,15,1,0,45
1983,4,1,69,7,0,111
1983,4,2,144,13,0,193
1983,4,3,128,12,1,223
1983,4,4,359,32,1,585
1983,4,5,206,22,1,392
1983,4,6,206,20,0,322
1983,4,7,72,10,0,111
1983,4,8,45,4,0,80
1983,4,9,173,20,1,291
1983,4,10,54,12,0,88
1983,5,1,392,41,0,526
1983,5,2,752,105,0,923
1983,5,3,824,102,0,1168
1983,5,4,1682,215,0,2312
1983,5,5,1294,163,0,1801
1983,5,6,888,133,1,1217
1983,5,7,364,63,0,510
1983,5,8,194,22,0,300
1983,5,9,1108,159,1,1398
1983,5,10,276,35,1,400
1984,1,1,4,1,0,23
1984,1,2,16,4,0,37
1984,1,3,7,0,0,53
1984,1,4,30,4,0,140
1984,1,5,10,2,0,88
1984,1,6,23,2,1,88
1984,1,7,6,2,0,27
1984,1,8,4,0,0,32
1984,1,9,17,2,0,80
1984,1,10,1,0,0,25
1984,2,1,3,2,0,6
1984,2,2,3,0,0,12
1984,2,3,7,1,0,23
1984,2,4,13,2,0,42
1984,2,5,10,2,0,30
1984,2,6,1,0,0,22
1984,2,7,0,0,0,6
1984,2,8,0,0,0,7
1984,2,9,13,4,0,36
1984,2,10,1,0,0,5
1984,3,1,68,7,1,159
1984,3,2,152,24,3,295
1984,3,3,169,18,1,454
1984,3,4,451,62,2,1037
1984,3,5,267,31,4,671
1984,3,6,237,31,2,592
1984,3,7,74,14,2,174
1984,3,8,48,6,0,140
1984,3,9,248,29,3,545
1984,3,10,49,7,0,131
1984,4,1,213,19,1,372
1984,4,2,425,49,0,648
1984,4,3,524,61,2,893
1984,4,4,1304,111,2,2126
1984,4,5,906,98,4,1506
1984,4,6,702,69,0,1129
1984,4,7,235,24,0,413
1984,4,8,120,11,2,221
1984,4,9,721,76,1,1139
1984,4,10,143,16,1,302
1984,5,1,1410,190,1,1940
1984,5,2,2741,366,1,3393
1984,5,3,2970,366,0,4118
1984,5,4,6137,771,0,8487
1984,5,5,4722,618,0,6656
1984,5,6,2980,412,0,4122
1984,5,7,1357,184,0,1934
1984,5,8,687,100,0,1009
1984,5,9,3678,561,1,4695
1984,5,10,1052,149,2,1472
1985,1,1,5,0,0,17
1985,1,2,6,1,0,40
1985,1,3,5,1,0,60
1985,1,4,29,5,1,142
1985,1,5,13,3,0,102
1985,1,6,18,6,2,116
1985,1,7,5,1,0,29
1985,1,8,4,2,0,23
1985,1,9,21,2,0,86
