DVD,HHS,total,totalA,totalB
201040,1,74,0,0
201040,2,290,3,0
201040,3,381,1,0
201040,4,697,16,15
201040,5,277,0,0
201040,6,431,4,1
201040,7,174,0,0
201040,8,346,4,1
201040,9,241,0,0
201040,10,113,1,1
201041,1,69,0,0
201041,2,259,1,1
201041,3,344,1,0
201041,4,826,32,17
201041,5,302,0,0
201041,6,562,3,4
201041,7,176,0,0
201041,8,391,5,0
201041,9,349,4,1
201041,10,142,0,0
201042,1,88,0,0
201042,2,322,1,0
201042,3,401,0,0
201042,4,808,44,19
201042,5,273,0,0
201042,6,484,2,6
201042,7,181,1,0
201042,8,394,3,0
201042,9,349,2,1
201042,10,151,0,0
201043,1,87,0,0
201043,2,265,4,0
201043,3,374,0,0
201043,4,906,30,31
201043,5,353,1,0
201043,6,507,7,3
201043,7,209,0,0
201043,8,422,9,1
201043,9,266,1,1
201043,10,154,0,0
201044,1,77,0,0
201044,2,304,7,1
201044,3,331,0,0
201044,4,1048,48,62
201044,5,327,2,0
201044,6,522,8,7
201044,7,192,1,0
201044,8,463,16,1
201044,9,360,1,2
201044,10,124,0,1
201045,1,74,0,0
201045,2,344,13,0
201045,3,401,1,0
201045,4,1308,71,117
201045,5,365,2,0
201045,6,697,6,6
201045,7,204,0,0
201045,8,572,16,0
201045,9,416,2,4
201045,10,147,1,0
201046,1,75,0,0
201046,2,405,19,0
201046,3,427,3,0
201046,4,1548,61,160
201046,5,329,10,0
201046,6,651,13,11
201046,7,220,0,0
201046,8,455,24,0
201046,9,441,1,9
201046,10,145,4,0
201047,1,82,1,0
201047,2,509,24,0
201047,3,324,1,1
201047,4,1631,104,198
201047,5,370,9,0
201047,6,627,20,15
201047,7,219,1,0
201047,8,555,19,2
201047,9,381,2,1
201047,10,138,7,0
201048,1,102,0,0
201048,2,631,33,0
201048,3,405,2,0
201048,4,1404,72,152
201048,5,330,1,2
201048,6,730,20,8
201048,7,191,2,0
201048,8,565,34,2
201048,9,412,3,6
201048,10,158,3,0
201049,1,90,1,0
201049,2,484,44,0
201049,3,374,6,1
201049,4,1354,49,150
201049,5,382,7,0
201049,6,785,22,31
201049,7,257,9,0
201049,8,631,65,0
201049,9,469,3,12
201049,10,193,1,0
201050,1,102,5,0
201050,2,653,56,2
201050,3,416,5,4
201050,4,1979,112,269
201050,5,341,8,0
201050,6,1069,113,79
201050,7,254,15,0
201050,8,692,89,2
201050,9,533,3,14
201050,10,195,1,0
201051,1,104,1,0
201051,2,698,112,4
201051,3,408,9,4
201051,4,2034,154,315
201051,5,454,20,3
201051,6,1272,160,137
201051,7,263,19,1
201051,8,686,139,6
201051,9,508,10,18
201051,10,174,3,1
201052,1,101,7,0
201052,2,781,179,1
201052,3,516,26,7
201052,4,2062,134,262
201052,5,500,21,6
201052,6,1352,155,110
201052,7,325,33,0
201052,8,760,137,6
201052,9,390,15,20
201052,10,207,3,0
201101,1,159,20,3
201101,2,1101,209,8
201101,3,592,38,6
201101,4,1986,162,154
201101,5,544,22,10
201101,6,1629,242,119
201101,7,302,17,2
201101,8,904,102,12
201101,9,553,20,13
201101,10,187,7,1
201102,1,147,13,3
201102,2,919,188,10
201102,3,622,57,3
201102,4,1656,179,94
201102,5,643,49,14
201102,6,1492,261,117
201102,7,336,38,3
201102,8,900,120,16
201102,9,541,20,10
201102,10,250,12,0
201103,1,134,13,4
201103,2,942,197,4
201103,3,697,76,14
201103,4,1561,165,60
201103,5,715,79,27
201103,6,1808,328,192
201103,7,294,28,4
201103,8,982,142,33
201103,9,428,28,13
201103,10,266,16,1
201104,1,154,26,5
201104,2,936,187,18
201104,3,714,111,7
201104,4,1896,256,71
201104,5,808,98,46
201104,6,2160,407,241
201104,7,384,22,7
201104,8,1139,168,35
201104,9,587,32,14
201104,10,336,14,0
201105,1,177,27,1
201105,2,920,168,36
201105,3,919,150,14
201105,4,2284,334,81
201105,5,1008,142,66
201105,6,2173,472,280
201105,7,306,26,8
201105,8,1308,159,75
201105,9,633,50,14
201105,10,260,21,0
201106,1,193,40,2
201106,2,926,169,41
201106,3,971,152,29
201106,4,2361,380,84
201106,5,980,132,64
201106,6,2111,410,231
201106,7,358,15,12
201106,8,1483,194,132
201106,9,738,73,18
201106,10,361,30,0
201107,1,243,43,8
201107,2,996,202,57
201107,3,1113,174,38
201107,4,2639,413,79
201107,5,1163,109,94
201107,6,2285,518,253
201107,7,337,14,12
201107,8,1850,238,188
201107,9,798,99,11
201107,10,378,34,1
201108,1,238,53,10
201108,2,1011,177,62
201108,3,1163,140,46
201108,4,2273,301,65
201108,5,1191,116,99
201108,6,1861,275,162
201108,7,351,19,17
201108,8,1914,185,201
201108,9,817,80,18
201108,10,363,46,6
201109,1,238,48,4
201109,2,885,130,53
201109,3,994,108,31
201109,4,1844,183,27
201109,5,1099,103,67
201109,6,1464,153,94
201109,7,377,11,16
201109,8,1648,145,168
201109,9,805,82,6
201109,10,402,40,0
201110,1,259,43,4
201110,2,812,85,47
201110,3,895,53,33
201110,4,1626,108,24
201110,5,943,63,35
201110,6,1206,74,49
201110,7,362,10,17
201110,8,1421,122,105
201110,9,719,57,13
201110,10,469,64,0
201111,1,286,45,8
201111,2,787,62,49
201111,3,752,40,20
201111,4,1470,79,24
201111,5,830,54,33
201111,6,882,37,19
201111,7,394,4,20
201111,8,1327,103,83
201111,9,554,28,8
201111,10,380,50,0
201112,1,302,33,13
201112,2,656,50,44
201112,3,721,31,24
201112,4,1187,37,10
201112,5,697,25,20
201112,6,807,31,11
201112,7,306,4,8
201112,8,1097,73,43
201112,9,515,18,5
201112,10,414,58,3
201113,1,234,13,12
201113,2,588,51,27
201113,3,649,24,27
201113,4,910,23,2
201113,5,667,19,26
201113,6,625,10,6
201113,7,296,1,7
201113,8,962,43,39
201113,9,487,4,3
201113,10,334,22,1
201114,1,191,7,16
201114,2,582,17,38
201114,3,593,12,11
201114,4,796,4,6
201114,5,579,10,9
201114,6,621,5,0
201114,7,303,6,3
201114,8,812,33,17
201114,9,453,3,0
201114,10,332,15,5
201115,1,173,8,3
201115,2,510,11,24
201115,3,516,11,7
201115,4,747,7,5
201115,5,551,6,7
201115,6,527,6,3
201115,7,272,4,0
201115,8,658,13,12
201115,9,439,1,1
201115,10,312,10,0
201116,1,166,5,12
201116,2,417,6,12
201116,3,459,1,3
201116,4,576,1,1
201116,5,430,3,2
201116,6,448,5,2
201116,7,231,0,2
201116,8,591,7,6
201116,9,399,1,0
201116,10,260,8,0
201117,1,130,2,5
201117,2,288,8,4
201117,3,377,0,5
201117,4,490,13,4
201117,5,383,2,6
201117,6,453,5,3
201117,7,232,1,1
201117,8,444,1,2
201117,9,309,1,1
201117,10,278,4,1
201118,1,124,0,1
201118,2,326,0,4
201118,3,293,1,1
201118,4,419,3,6
201118,5,365,0,0
201118,6,347,1,2
201118,7,250,1,1
201118,8,498,1,0
201118,9,276,0,0
201118,10,219,2,1
201119,1,105,0,0
201119,2,241,0,3
201119,3,266,1,2
201119,4,407,2,3
201119,5,373,0,2
201119,6,346,0,0
201119,7,212,0,0
201119,8,396,5,1
201119,9,279,0,0
201119,10,219,3,0
201120,1,126,0,0
201120,2,314,0,1
201120,3,282,1,2
201120,4,392,0,1
201120,5,329,0,5
201120,6,341,0,0
201120,7,184,0,0
201120,8,404,4,1
201120,9,216,1,0
201120,10,175,0,0
201121,1,108,1,0
201121,2,237,1,1
201121,3,238,0,0
201121,4,358,2,0
201121,5,240,0,0
201121,6,305,1,0
201121,7,213,0,0
201121,8,367,2,0
201121,9,199,0,1
201121,10,165,0,0
201122,1,126,1,0
201122,2,217,0,0
201122,3,249,0,1
201122,4,322,2,1
201122,5,220,0,2
201122,6,264,1,0
201122,7,161,0,0
201122,8,340,1,0
201122,9,172,0,1
201122,10,173,1,0
201123,1,86,0,0
201123,2,189,0,0
201123,3,260,0,1
201123,4,269,1,1
201123,5,256,0,0
201123,6,262,1,0
201123,7,162,0,0
201123,8,290,0,0
201123,9,188,0,0
201123,10,147,0,0
201124,1,101,0,0
201124,2,176,0,0
201124,3,253,0,0
201124,4,294,5,0
201124,5,223,0,0
201124,6,259,0,0
201124,7,147,1,0
201124,8,285,0,0
201124,9,174,0,0
201124,10,90,0,0
201125,1,108,0,0
201125,2,176,0,1
201125,3,237,0,0
201125,4,213,0,0
201125,5,212,4,0
201125,6,228,0,0
201125,7,128,0,0
201125,8,225,0,0
201125,9,168,0,0
201125,10,125,0,2
201126,1,2,0,0
201126,2,143,0,0
201126,3,167,0,0
201126,4,198,1,1
201126,5,179,0,0
201126,6,162,0,0
201126,7,129,0,0
201126,8,210,0,0
201126,9,129,0,0
201126,10,107,0,0
201127,1,4,0,0
201127,2,140,0,0
201127,3,168,0,0
201127,4,198,0,1
201127,5,156,0,0
201127,6,173,0,0
201127,7,111,0,0
201127,8,170,0,0
201127,9,113,0,0
201127,10,134,0,0
201128,1,15,0,0
201128,2,134,1,0
201128,3,185,0,1
201128,4,178,0,2
201128,5,160,0,0
201128,6,175,0,0
201128,7,161,0,0
201128,8,199,0,0
201128,9,101,0,0
201128,10,93,0,0
201129,1,1,0,0
201129,2,130,1,0
201129,3,164,0,0
201129,4,190,0,3
201129,5,153,0,0
201129,6,186,1,0
201129,7,146,0,0
201129,8,183,0,0
201129,9,154,0,0
201129,10,99,0,0
201130,1,0,0,0
201130,2,99,1,0
201130,3,158,0,0
201130,4,174,2,1
201130,5,148,0,0
201130,6,177,0,0
201130,7,123,0,0
201130,8,143,0,0
201130,9,93,0,0
201130,10,100,0,0
201131,1,1,0,0
201131,2,134,0,0
201131,3,197,0,0
201131,4,180,3,2
201131,5,161,0,0
201131,6,174,0,0
201131,7,136,0,0
201131,8,171,0,0
201131,9,124,0,0
201131,10,70,0,0
201132,1,1,0,0
201132,2,133,0,1
201132,3,173,0,0
201132,4,161,4,1
201132,5,150,0,0
201132,6,241,3,0
201132,7,137,0,0
201132,8,165,0,0
201132,9,95,0,0
201132,10,71,0,0
201133,1,7,0,0
201133,2,63,0,0
201133,3,176,0,0
201133,4,198,3,1
201133,5,185,0,0
201133,6,234,1,0
201133,7,137,0,0
201133,8,178,0,0
201133,9,121,0,0
201133,10,76,0,0
201134,1,1,0,0
201134,2,133,0,0
201134,3,183,0,0
201134,4,260,4,2
201134,5,146,0,1
201134,6,212,0,0
201134,7,164,0,0
201134,8,206,1,0
201134,9,113,0,0
201134,10,96,0,0
201135,1,0,0,0
201135,2,127,0,0
201135,3,187,0,0
201135,4,301,8,1
201135,5,180,0,0
201135,6,296,1,0
201135,7,196,0,0
